ポストURL,いいね数,RT数,インプ数,投稿者名,投稿テキスト,投稿日時,画像,収集日時
https://x.com/momo_fukuen/status/2033463853691052503,92,0,6313,もも｜回避型彼氏と復縁,男って別れを決めた時の気持ちがすべてじゃないんだよね。その時の調子とかタイミングで「今は無理」ってだけ。女性みたいに覚悟を決めて別れるわけじゃない。本来グレーな生き物だからね復縁した彼も言ってたけど、永遠の別れだと本人は思ってないから時間が経つと「戻りたい」ってなるみたい。,3月16日,,3月21日
https://x.com/momo_fukuen/status/2033511577165672727,23,0,2577,もも｜回避型彼氏と復縁,『本命との関係を完全に壊さないために一時的に離れてる』だけなの。だからずーっと未練を引きずってるし、関わり方さえ間違えなければあっさり戻ってくる。つまり進展しないのは『回避型の地雷を無意識に踏んじゃってるだけ』なんだよね。よくある失敗が「疑問形LINEを送る」「軽くご飯に誘う」、,3月16日,,3月21日
https://x.com/momo_fukuen/status/2033472068554289182,135,3,19335,もも｜回避型彼氏と復縁,復縁した彼もまったく同じこと言ってた。『未練ある＝連絡する』って女性だけの感覚らしく、男はプライドや罪悪感で簡単に動けないんだって。振ったくせに都合よく連絡してくる男より100倍誠実だし『ど本命』だから復縁も超有利。LINEスルーとか冷たい態度の方が戻りやすいって復縁した今だからわかる,3月16日,,3月21日
https://x.com/momo_fukuen/status/2033108692451606533,534,29,31502,もも｜回避型彼氏と復縁,運命の人とは一度別れるって事実。別れないとお互いの大切さに気づけないから。私も別れたから「この人以外考えられない」ってなったし、彼も同じだったみたい。回避型は特にそう。付き合ってる時に向き合えなかった自分の欠点を別れて初めて認識するから。いま絶望的でも縁があれば絶対戻れるよ。,3月15日,,3月21日
https://x.com/momo_fukuen/status/2033148581507678284,125,5,17198,もも｜回避型彼氏と復縁,復縁した彼が教えてくれた男の本音「自分から振っておいて今さら戻りたいなんて都合いいこと申し訳なくて言えない」らしい。特に自己肯定感が低い回避型はこの傾向強め。つまり回避型は未練が強い時ほど自分から連絡できない心理構造になってるんだよね。だから連絡がないのは脈なしじゃなくむしろ、,3月15日,,3月21日
https://x.com/momo_fukuen/status/2033002473036882247,72,0,16330,もも｜回避型彼氏と復縁,『元彼が冷たいしLINEもスルーされる』、実はこれ復縁成功率がめちゃくちゃ高いパターンだよ。私も回避型の彼に既読無視されたし態度も冷たくて「これって脈なしすぎない？」ってめっちゃ落ち込んだ。でも復縁したあと「別れてからめっちゃ冷たかったよね、LINEスルーしたのなんで？」って聞いたら、,3月15日,,3月21日
https://x.com/momo_fukuen/status/2032783996107763934,295,5,49489,もも｜回避型彼氏と復縁,回避型ってベタ惚れした女性には最初グイグイなんだよね。でも関係が深まるとだんだん回避モードになる。これって気持ちが冷めたんじゃなくて「本当の自分を見せたら嫌われるかも」って不安が出てくるからなんだって。私が復縁した彼も「好きになるほど不安になった」って言ってた。『本命女性に、,3月14日,,3月21日
https://x.com/momo_fukuen/status/2032826441935851983,129,9,6744,もも｜回避型彼氏と復縁,復縁は「したい」じゃなくて「する」って決めるのほんっと大事。限界メンヘラ女だった私は「絶対この人と復縁する」って決めてから変に我慢したり顔色伺ったりしなくなった。どうせ復縁するんだから対等でいよって思えて。どんと構える姿勢が彼の心を動かしたんだと思う。女の覚悟は男を本気にする。,3月14日,,3月21日
https://x.com/momo_fukuen/status/2032783998859231406,24,0,5565,もも｜回避型彼氏と復縁,嫌われたくない』っていうのが彼らの本音。ってことは彼が別れを選んだのは愛情が消えたんじゃなくて、大事だからこそ失いたくない防衛反応。そもそもブロックしない時点で彼自身も「一時的な別れで復縁するかも」って思ってるんだよね。回避型との復縁が意外とあっさり叶うのはそういう理由。ただ、,3月14日,,3月21日
https://x.com/momo_fukuen/status/2032756897917583502,156,3,19748,もも｜回避型彼氏と復縁,男は『相手を傷つけてしまった恋』ほど距離を取る生き物。彼女を本気で大切に想ってた男なら普通に連絡できるわけないんだよね。復縁した友達が「罪悪感なくヘラヘラ連絡してくる男の方が確実にやばい」って言っててほんとそれすぎる別れてから距離がある方があとあとの復縁率は高いからまじで大丈夫,3月14日,,3月21日
https://x.com/momo_fukuen/status/2032419014706934171,93,2,10637,もも｜回避型彼氏と復縁,男が本命と別れるときって『愛しすぎて自分が苦しくなった』パターンが断トツで多い。特に回避型は恋愛感情が強くなるほど「こんなにのめり込んでいいのか」って不安になって自分から関係を切ろうとする。私の復縁した彼も「自分を見失いそうで怖かった」らしい。強い愛情に不安になっただけだから、,3月13日,,3月21日
